venue_id,venue_name,venue_type,venue_lat,venue_lng,rating,reviews,price_level,h3_cell,open_now,current_busyness,day_mean,fullness_score,relative_score,expected_momentum_score,popularity_score,venue_base_hotness,area_hotness_smoothed,venue_hotness_final
ven_457a554b5936522d39613352676f42544a6b434a2d30474a496843,Caribou Tavern,BEER,43.0820156,-89.3794525,4.7,538,1,89275800c67ffff,1,0.0,48.0,0.0,0.0,0.0,0.694148,0.069415,0.085288,0.074177
ven_67654f6a355f77774b734452676f425452504c326c664a4a496843,Delicacies of Asia,ASIAN_RESTAURANT,43.0749664,-89.3936004,3.6,71,1,892758008cbffff,1,0.0,61.0,0.0,0.0,0.0,0.361519,0.036152,0.159962,0.073295
ven_496b324d42626a35794f7852673442744b78456569384a4a496843,University of Wisconsin–Madison Arboretum,BOTANICAL_GARDEN,43.0428709,-89.4243205,4.9,413,0,8927580e40bffff,1,0.0,84.0,0.0,0.0,0.0,0.693328,0.069333,0.081487,0.072979
ven_556c77314b645a6d445a6b52676f4254357a503776534a4a496843,Madison Club,OTHER,43.0726458,-89.3807656,4.6,292,3,8927580088fffff,1,0.0,0.0,0.0,0.0,0.0,0.61354,0.061354,0.099889,0.072914
ven_735043446a497869792d5f5267344274436c52504137664a496843,Cordial,BAR,43.0615621,-89.4010343,4.9,144,0,89275800aa7ffff,1,0.0,0.0,0.0,0.0,0.0,0.572616,0.057262,0.109248,0.072858
ven_7373726474776d39475f5152676f425464364a47415f444a496843,Moon Bar,RESTAURANT,43.0743649,-89.3925601,4.4,29,0,892758008cbffff,1,0.0,0.0,0.0,0.0,0.0,0.351405,0.03514,0.159962,0.072587
ven_735279776744764345726152676f4254646f6e53675a6f4a496843,Gamma Ray Bar,PERFORMING_ARTS,43.0723732,-89.3847831,4.2,86,0,89275800813ffff,1,0.0,0.0,0.0,0.0,0.0,0.440436,0.044044,0.135587,0.071507
ven_4d6538476639485763527652676f4254644455396858444a496843,A La Brasa Mexican Grill,MEXICAN_RESTAURANT,43.0719903,-89.3891764,4.3,443,1,8927580081bffff,1,0.0,0.0,0.0,0.0,0.0,0.615495,0.061549,0.093871,0.071246
ven_49485939477a74396b6c2d52673442736173524f4b65694a496843,Library Cafe & Bar,BAR,43.0730787,-89.4092156,4.5,266,2,89275800a9bffff,1,0.0,0.0,0.0,0.0,0.0,0.590383,0.059038,0.099195,0.071085
ven_304f78394b46304d61693552676f425470334e544652754a496843,Baldwin Street Grille,RESTAURANT,43.0876196,-89.3663211,4.4,646,1,89275800cabffff,1,0.0,56.0,0.0,0.0,0.0,0.66871,0.066871,0.078915,0.070484
